Skin Tone,Skin Tone Hex,Skin_R,Skin_G,Skin_B,Hair Color,Hair Color Hex,Hair_R,Hair_G,Hair_B,Eye Color,Eye Color Hex,Eye_R,Eye_G,Eye_B,Vein Color,Vein Color Hex,Vein_R,Vein_G,Vein_B,Body Shape,Body Proportion,Do's to Wear,Don'ts to Wear,Wear Colors,Avoid Colors
Medium,#D1A38F,209,163,143,White,#FFFFFF,255,255,255,Brown,#5C4033,92,64,51,Cool,#6699CC,102,153,204,Pear,Balanced,Tailored Shirts,Crop Tops,Pastels,Olive
Medium,#D1A38F,209,163,143,Blonde,#FAF0BE,250,240,190,Green,#3E8E41,62,142,65,Warm,#99CC99,153,204,153,Apple,"Short Torso, Long Legs",High-waist Pants,Crop Tops,Rich Jewel Tones,Bright Red
Dark,#8D5524,141,85,36,Light Brown,#B5651D,181,101,29,Green,#3E8E41,62,142,65,Warm,#99CC99,153,204,153,Trapezoid,Balanced,Tailored Shirts,Oversized Jackets,Earth Tones,Ashy Colors
Dark,#8D5524,141,85,36,Reddish Brown,#A52A2A,165,42,42,Light Brown,#A1866F,161,134,111,Neutral,#CCCC99,204,204,153,Trapezoid,"Long Torso, Short Legs",Wrap Dresses,Boxy Tops,Soft Neutrals,Bright Red
Medium,#D1A38F,209,163,143,Light Brown,#B5651D,181,101,29,Green,#3E8E41,62,142,65,Neutral,#CCCC99,204,204,153,Rectangle,"Short Torso, Long Legs",A-line Skirts,Oversized Jackets,Rich Jewel Tones,Ashy Colors
Fair,#FFE0BD,255,224,189,Brown,#4B3621,75,54,33,Black,#0D0D0D,13,13,13,Cool,#6699CC,102,153,204,Rectangle,Balanced,High-waist Pants,Boxy Tops,Soft Neutrals,Dull Browns
Dark,#8D5524,141,85,36,Black,#1C1C1C,28,28,28,Black,#0D0D0D,13,13,13,Warm,#99CC99,153,204,153,Apple,Balanced,A-line Skirts,Baggy Pants,Soft Neutrals,Olive
Fair,#FFE0BD,255,224,189,White,#FFFFFF,255,255,255,Green,#3E8E41,62,142,65,Neutral,#CCCC99,204,204,153,Apple,Balanced,High-waist Pants,Crop Tops,Pastels,Bright Red
Dark,#8D5524,141,85,36,Black,#1C1C1C,28,28,28,Blue,#4682B4,70,130,180,Warm,#99CC99,153,204,153,Rectangle,Balanced,Wrap Dresses,Drop Waist Dresses,Earth Tones,Neon
Dark,#8D5524,141,85,36,Reddish Brown,#A52A2A,165,42,42,Light Brown,#A1866F,161,134,111,Neutral,#CCCC99,204,204,153,Trapezoid,"Short Torso, Long Legs",A-line Skirts,Baggy Pants,Soft Neutrals,Olive
Dark,#8D5524,141,85,36,White,#FFFFFF,255,255,255,Green,#3E8E41,62,142,65,Neutral,#CCCC99,204,204,153,Pear,"Short Torso, Long Legs",High-waist Pants,Oversized Jackets,Pastels,Bright Red
Medium,#D1A38F,209,163,143,Reddish Brown,#A52A2A,165,42,42,Green,#3E8E41,62,142,65,Neutral,#CCCC99,204,204,153,Apple,Balanced,Structured Blazers,Boxy Tops,Earth Tones,Neon
Fair,#FFE0BD,255,224,189,Black,#1C1C1C,28,28,28,Blue,#4682B4,70,130,180,Cool,#6699CC,102,153,204,Apple,"Long Torso, Short Legs",High-waist Pants,Drop Waist Dresses,Earth Tones,Olive
